Smiles,Standard Value
Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,0.47
Cl.O=[N+]([O-])c1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,158
COc1ccc2ncncc2c1,30
C=CC(=O)N1CCC[C@H]1CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,1.9
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,15
Cc1ccc(-c2nc3cc(NC(=O)CCl)ccc3[nH]2)cc1,1929
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,20000
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)Nc2ccccc2)[nH]c2ccccc12)Nc1ccccc1,25000
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Cl)cc2)cc1,13730
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(F)cc2)cc1,8280
O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(F)cc1,14530
NC1CCN(Cc2ccn3ncnc(Nc4cccc(Cl)c4)c23)CC1,9
Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,660
COc1cccc(-c2cn(C3CC(C(=O)NCCO)C3)c3ncnc(N)c23)c1,330
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1,5.5
C=CC(=O)N1CCC[C@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,2.298
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,3100
C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,20.6
COc1cc(/C=C2\CCC/C(=C\c3ccc(OC)c(O)c3)C2=O)cc(OC)c1,5370
COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,1960
CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,610
CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,954
COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,2300
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,20
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.98
C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.93
O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1)NO,1100
COc1cc(O)c(C(=O)Nc2ccc(F)c(Cl)c2)cc1NC(=O)CCCCCC(=O)NO,1560
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,900
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.7
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCC(Br)C2,13300
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,15.5
C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,86.9
Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,36
CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,15
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cc[nH]n3)cc2Cl)c1,42
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,77
Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,30
O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c1)NO,1410
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,85
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,55
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,5
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,50
Fc1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1Cl,45
CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,3
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,9
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,1250
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1,1300
Nc1ncnc2c1ncn2-c1ccccc1,15000
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,630
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1.5
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,9
N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,1300
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,5.4
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCCC5)cc4OC)nc32)c1,95.71
COc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,80
